Address,City and ZIP,SF,City,ZIP,yearly_price_per_SF,year_built,full_address,latitude,longitude,weighted_avg_income,nearest_distance
481 Broome St,"New York, NY, 10013","6,000 ","New York, ",10013,185.00 ,1900,"481 Broome St New York, NY, 10013",40.722925,-74.002369,122.22905027932961,359.06098050913994
133 Eldridge St,"New York, NY, 10002","7,500 ","New York, ",10002,35.00 ,1900,"133 Eldridge St New York, NY, 10002",40.7190092,-73.9918027499002,64.70105421686748,913.2543932232105
1229 Castleton Ave,"Staten Island, NY, 10310","6,500 ","Staten Island, ",10310,22.00 ,1940,"1229 Castleton Ave Staten Island, NY, 10310",40.63428605,-74.12324575091051,71.73327688399661,12767.898977690911
20 Jay St,"Brooklyn, NY, 11201"," 53,979 ","Brooklyn, ",11201,33.00 ,1915,"20 Jay St Brooklyn, NY, 11201",40.7041127,-73.9868413,133.02087503574492,2182.0536761778594
90 Sands St,"Brooklyn, NY, 11201"," 36,326 ","Brooklyn, ",11201,40.00 ,2022,"90 Sands St Brooklyn, NY, 11201",40.6995838,-73.98721707678408,133.02087503574492,1729.9043291132234
4806 Avenue N,"Brooklyn, NY, 11234","4,600 ","Brooklyn, ",11234,32.00 ,1931,"4806 Avenue N Brooklyn, NY, 11234",40.6186654,-73.92844505028398,73.0263720598717,8541.499698280435
3040 Nostrand Ave,"Brooklyn, NY, 11229"," 15,000 ","Brooklyn, ",11229,40.00 ,1989,"3040 Nostrand Ave Brooklyn, NY, 11229",40.6102309,-73.9439397,67.06064618644068,8856.591415242237
1675 3rd Ave,"New York, NY, 10128","8,952 ","New York, ",10128,41.88 ,1986,"1675 3rd Ave New York, NY, 10128",40.7834733,-73.9502583,126.91208439897699,1645.2457319791838
2965 Veterans Rd W,"Staten Island, NY, 10309"," 12,067 ","Staten Island, ",10309,45.00 ,2007,"2965 Veterans Rd W Staten Island, NY, 10309",40.5273907,-74.233939,92.06816760475297,27798.61394068182
8501 New Utrecht Ave,"Brooklyn, NY, 11214","5,000 ","Brooklyn, ",11214,30.00 ,1928,"8501 New Utrecht Ave Brooklyn, NY, 11214",40.60720915,-74.00144236159105,53.93504639543183,8922.64448566264
120 Wall St,"New York, NY, 10005"," 4,220 ","New York, ",10005,70.00 ,1929,"120 Wall St New York, NY, 10005",40.704761250000004,-74.00595511542886,136.7764505119454,884.5383578129895
154 E 23rd St,"New York, NY, 10010"," 5,945 ","New York, ",10010,120.00 ,2021,"154 E 23rd St New York, NY, 10010",40.7389754,-73.9838977,130.9073262366938,1252.8203491133115
168 7th St,"Brooklyn, NY, 11215"," 18,000 ","Brooklyn, ",11215,35.00 ,1910,"168 7th St Brooklyn, NY, 11215",40.6728674,-73.9910249,119.79633587786259,1779.470150910834
1728 Sheepshead Bay Rd,"Brooklyn, NY, 11235"," 32,000 ","Brooklyn, ",11235,30.00 ,1927,"1728 Sheepshead Bay Rd Brooklyn, NY, 11235",40.58538875,-73.95205110958923,64.00269740068661,11345.159199181137
1118 Pennsylvania Ave,"Brooklyn, NY, 11207"," 7,500 ","Brooklyn, ",11207,45.00 ,1963,"1118 Pennsylvania Ave Brooklyn, NY, 11207",40.65343878947368,-73.88691336842105,44.80173423951254,8506.410123476178
431 W 16th St,"New York, NY, 10011","6,500 ","New York, ",10011,150.00 ,1950,"431 W 16th St New York, NY, 10011",40.7430035,-74.0058886,136.63649222065064,205.08164840570683
1081 Atlantic Ave,"Brooklyn, NY, 11238","5,750 ","Brooklyn, ",11238,40.00 ,1930,"1081 Atlantic Ave Brooklyn, NY, 11238",40.6819833,-73.9688709,100.10738255033557,886.4968479118164
267 W 126th St,"New York, NY, 10027"," 4,326 ","New York, ",10027,40.00 ,2022,"267 W 126th St New York, NY, 10027",40.81050169387755,-73.94965006122449,66.99653045489592,4311.191932540309
110 Thatford Ave,"Brooklyn, NY, 11212"," 18,505 ","Brooklyn, ",11212,36.00 ,2023,"110 Thatford Ave Brooklyn, NY, 11212",40.66877028571429,-73.90964004081633,41.45540032240731,6091.984216859398
1285 Broadway,"Brooklyn, NY, 11221"," 14,000 ","Brooklyn, ",11221,29.50 ,1995,"1285 Broadway Brooklyn, NY, 11221",40.6910037,-73.9242883,56.33072215422277,4065.954197092931
921 Richmond Ave,"Staten Island, NY, 10314","5,700 ","Staten Island, ",10314,62.00 ,1974,"921 Richmond Ave Staten Island, NY, 10314",40.6247672,-74.14856086045738,78.61298701298702,15078.15503511094
251 4th Ave,"Brooklyn, NY, 11215","5,800 ","Brooklyn, ",11215,66.21 ,1921,"251 4th Ave Brooklyn, NY, 11215",40.67622,-73.983731,119.79633587786259,1139.7578988438606
50 Greene St,"New York, NY, 10013"," 25,750 ","New York, ",10013,115.00 ,1900,"50 Greene St New York, NY, 10013",40.722199714285715,-74.00158042857143,122.22905027932961,376.11869702137625
2220 Flatbush Ave,"Brooklyn, NY, 11234"," 7,500 ","Brooklyn, ",11234,38.00 ,1952,"2220 Flatbush Ave Brooklyn, NY, 11234",40.6155853,-73.92962860064989,73.0263720598717,8793.514342299755
510 Driggs Ave,"Brooklyn, NY, 11211"," 5,859 ","Brooklyn, ",11211,150.00 ,2022,"510 Driggs Ave Brooklyn, NY, 11211",40.7179428,-73.95576868575758,88.97674418604652,433.7163160630723
2222 Church Ave,"Brooklyn, NY, 11226","15,000 ","Brooklyn, ",11226,49.00 ,1931,"2222 Church Ave Brooklyn, NY, 11226",40.6501993,-73.95781292985555,54.04270186335404,4292.33268468223
419 Park Ave S,"New York, NY, 10016"," 67,184 ","New York, ",10016,60.00 ,1927,"419 Park Ave S New York, NY, 10016",40.7437261,-73.9835592,121.98438008460788,734.7156329863336
111 W 24th St,"New York, NY, 10011"," 25,930 ","New York, ",10011,55.00 ,1902,"111 W 24th St New York, NY, 10011",40.74380889744286,-73.99266935386287,136.63649222065064,943.1468146483749
515 Broadway,"New York, NY, 10012"," 30,000 ","New York, ",10012,128.33 ,1875,"515 Broadway New York, NY, 10012",40.7226841,-73.9992804,124.96935201401051,261.72900561914656
1627 Broadway,"New York, NY, 10019"," 17,994 ","New York, ",10019,207.91 ,1930,"1627 Broadway New York, NY, 10019",40.7613625,-73.9843113,119.98522167487685,953.250825090633
1413 38th St,"Brooklyn, NY, 11218","4,800 ","Brooklyn, ",11218,35.00 ,1924,"1413 38th St Brooklyn, NY, 11218",40.63970075510204,-73.98306983673469,70.50332929782083,5112.234456005879
38 Victory Blvd,"Staten Island, NY, 10301"," 50,000 ","Staten Island, ",10301,45.00 ,2023,"38 Victory Blvd Staten Island, NY, 10301",40.63783188095238,-74.07661871428571,71.53340575774035,9866.842755746362
178 Delancey St,"New York, NY, 10002","5,000 ","New York, ",10002,59.00 ,1910,"178 Delancey St New York, NY, 10002",40.7177858,-73.9849194,64.70105421686748,1447.4072280392631
1188 Flushing Ave,"Brooklyn, NY, 11237"," 20,000 ","Brooklyn, ",11237,45.00 ,1929,"1188 Flushing Ave Brooklyn, NY, 11237",40.70695825000001,-73.92452175,51.53839590443686,3140.485821811988
556 Howard Ave,"Brooklyn, NY, 11233"," 8,400 ","Brooklyn, ",11233,35.00 ,1921,"556 Howard Ave Brooklyn, NY, 11233",40.6687259,-73.92052729341106,53.553238546603474,5225.249213726376
37 Greenpoint Ave,"Brooklyn, NY, 11222"," 8,300 ","Brooklyn, ",11222,51.00 ,1931,"37 Greenpoint Ave Brooklyn, NY, 11222",40.7298686,-73.9590216,96.09931212381771,1583.600364138363
411 Meeker Ave,"Brooklyn, NY, 11222"," 9,000 ","Brooklyn, ",11222,42.50 ,2022,"411 Meeker Ave Brooklyn, NY, 11222",40.7189793,-73.946675,96.09931212381771,1177.8392238387905
531 W 26th St,"New York, NY, 10001"," 67,940 ","New York, ",10001,62.00 ,1920,"531 W 26th St New York, NY, 10001",40.7500533877551,-74.00365836734694,115.71375233354075,996.3556993590677
217 Main St,"Staten Island, NY, 10307"," 6,648 ","Staten Island, ",10307,45.00 ,1932,"217 Main St Staten Island, NY, 10307",40.50995335,-74.24713775000001,94.2078488372093,29974.902018798217
2277 3rd Ave,"New York, NY, 10035"," 7,500 ","New York, ",10035,30.00 ,1910,"2277 3rd Ave New York, NY, 10035",40.8026919,-73.93614554687983,54.232118758434545,4042.1563729564723
318 E 62nd St,"New York, NY, 10065"," 4,700 ","New York, ",10065,115.00 ,1910,"318 E 62nd St New York, NY, 10065",40.761973749999996,-73.96227599617663,137.905672823219,1277.7001215511953
444 Graham Ave,"Brooklyn, NY, 11211","4,000 ","Brooklyn, ",11211,45.00 ,2024,"444 Graham Ave Brooklyn, NY, 11211",40.7182986,-73.9448952,88.97674418604652,1302.064847915629
241 W 36th St,"New York, NY, 10018"," 10,109 ","New York, ",10018,55.00 ,1925,"241 W 36th St New York, NY, 10018",40.7531443,-73.99111345,123.03506097560975,587.993500206233
651 Eleventh Ave,"New York, NY, 10036"," 75,000 ","New York, ",10036,69.00 ,1940,"651 Eleventh Ave New York, NY, 10036",42.7352973,-73.71131,104.8456755228943,208052.83678334148
357 Broadway,"New York, NY, 10013"," 12,148 ","New York, ",10013,125.00 ,2018,"357 Broadway New York, NY, 10013",40.94783525,-73.8937227937998,122.22905027932961,10832.641629533768
38 W 32nd St,"New York, NY, 10001"," 21,270 ","New York, ",10001,51.00 ,1915,"38 W 32nd St New York, NY, 10001",40.7478474,-73.9873572,115.71375233354075,313.17413679994115
22 W 32nd St,"New York, NY, 10001","37,500 ","New York, ",10001,40.00 ,1913,"22 W 32nd St New York, NY, 10001",40.7476009,-73.9868755,115.71375233354075,317.5408586897504
36 W 32nd St,"New York, NY, 10001","13,500 ","New York, ",10001,40.00 ,1906,"36 W 32nd St New York, NY, 10001",40.7475001875,-73.9865399375,115.71375233354075,317.47992102909717
205 W 38th St,"New York, NY, 10018"," 22,500 ","New York, ",10018,86.40 ,2021,"205 W 38th St New York, NY, 10018",40.7538227,-73.9889979,123.03506097560975,507.69769688831093
231 E 50th St,"New York, NY, 10022"," 4,000 ","New York, ",10022,48.00 ,1950,"231 E 50th St New York, NY, 10022",40.755506100000005,-73.96942221521043,142.5141065830721,694.7732179238137
481 Broome St,"New York, NY, 10013","6,000 ","New York, ",10013,185.00 ,1900,"481 Broome St New York, NY, 10013",40.722925,-74.002369,122.22905027932961,359.06098050913994
133 Eldridge St,"New York, NY, 10002","7,500 ","New York, ",10002,35.00 ,1900,"133 Eldridge St New York, NY, 10002",40.7190092,-73.9918027499002,64.70105421686748,913.2543932232105
1229 Castleton Ave,"Staten Island, NY, 10310","6,500 ","Staten Island, ",10310,22.00 ,1940,"1229 Castleton Ave Staten Island, NY, 10310",40.63428605,-74.12324575091051,71.73327688399661,12767.898977690911
20 Jay St,"Brooklyn, NY, 11201"," 53,979 ","Brooklyn, ",11201,33.00 ,1915,"20 Jay St Brooklyn, NY, 11201",40.7041127,-73.9868413,133.02087503574492,2182.0536761778594
90 Sands St,"Brooklyn, NY, 11201"," 36,326 ","Brooklyn, ",11201,40.00 ,2022,"90 Sands St Brooklyn, NY, 11201",40.6995838,-73.98721707678408,133.02087503574492,1729.9043291132234
4806 Avenue N,"Brooklyn, NY, 11234","4,600 ","Brooklyn, ",11234,32.00 ,1931,"4806 Avenue N Brooklyn, NY, 11234",40.6186654,-73.92844505028398,73.0263720598717,8541.499698280435
3040 Nostrand Ave,"Brooklyn, NY, 11229"," 15,000 ","Brooklyn, ",11229,40.00 ,1989,"3040 Nostrand Ave Brooklyn, NY, 11229",40.6102309,-73.9439397,67.06064618644068,8856.591415242237
1675 3rd Ave,"New York, NY, 10128","8,952 ","New York, ",10128,41.88 ,1986,"1675 3rd Ave New York, NY, 10128",40.7834733,-73.9502583,126.91208439897699,1645.2457319791838
2965 Veterans Rd W,"Staten Island, NY, 10309"," 12,067 ","Staten Island, ",10309,45.00 ,2007,"2965 Veterans Rd W Staten Island, NY, 10309",40.5273907,-74.233939,92.06816760475297,27798.61394068182
8501 New Utrecht Ave,"Brooklyn, NY, 11214","5,000 ","Brooklyn, ",11214,30.00 ,1928,"8501 New Utrecht Ave Brooklyn, NY, 11214",40.60720915,-74.00144236159105,53.93504639543183,8922.64448566264
120 Wall St,"New York, NY, 10005"," 4,220 ","New York, ",10005,70.00 ,1929,"120 Wall St New York, NY, 10005",40.704761250000004,-74.00595511542886,136.7764505119454,884.5383578129895
154 E 23rd St,"New York, NY, 10010"," 5,945 ","New York, ",10010,120.00 ,2021,"154 E 23rd St New York, NY, 10010",40.7389754,-73.9838977,130.9073262366938,1252.8203491133115
168 7th St,"Brooklyn, NY, 11215"," 18,000 ","Brooklyn, ",11215,35.00 ,1910,"168 7th St Brooklyn, NY, 11215",40.6728674,-73.9910249,119.79633587786259,1779.470150910834
1728 Sheepshead Bay Rd,"Brooklyn, NY, 11235"," 32,000 ","Brooklyn, ",11235,30.00 ,1927,"1728 Sheepshead Bay Rd Brooklyn, NY, 11235",40.58538875,-73.95205110958923,64.00269740068661,11345.159199181137
1118 Pennsylvania Ave,"Brooklyn, NY, 11207"," 7,500 ","Brooklyn, ",11207,45.00 ,1963,"1118 Pennsylvania Ave Brooklyn, NY, 11207",40.65343878947368,-73.88691336842105,44.80173423951254,8506.410123476178
431 W 16th St,"New York, NY, 10011","6,500 ","New York, ",10011,150.00 ,1950,"431 W 16th St New York, NY, 10011",40.7430035,-74.0058886,136.63649222065064,205.08164840570683
1081 Atlantic Ave,"Brooklyn, NY, 11238","5,750 ","Brooklyn, ",11238,40.00 ,1930,"1081 Atlantic Ave Brooklyn, NY, 11238",40.6819833,-73.9688709,100.10738255033557,886.4968479118164
267 W 126th St,"New York, NY, 10027"," 4,326 ","New York, ",10027,40.00 ,2022,"267 W 126th St New York, NY, 10027",40.81050169387755,-73.94965006122449,66.99653045489592,4311.191932540309
110 Thatford Ave,"Brooklyn, NY, 11212"," 18,505 ","Brooklyn, ",11212,36.00 ,2023,"110 Thatford Ave Brooklyn, NY, 11212",40.66877028571429,-73.90964004081633,41.45540032240731,6091.984216859398
1285 Broadway,"Brooklyn, NY, 11221"," 14,000 ","Brooklyn, ",11221,29.50 ,1995,"1285 Broadway Brooklyn, NY, 11221",40.6910037,-73.9242883,56.33072215422277,4065.954197092931
921 Richmond Ave,"Staten Island, NY, 10314","5,700 ","Staten Island, ",10314,62.00 ,1974,"921 Richmond Ave Staten Island, NY, 10314",40.6247672,-74.14856086045738,78.61298701298702,15078.15503511094
251 4th Ave,"Brooklyn, NY, 11215","5,800 ","Brooklyn, ",11215,66.21 ,1921,"251 4th Ave Brooklyn, NY, 11215",40.67622,-73.983731,119.79633587786259,1139.7578988438606
50 Greene St,"New York, NY, 10013"," 25,750 ","New York, ",10013,115.00 ,1900,"50 Greene St New York, NY, 10013",40.722199714285715,-74.00158042857143,122.22905027932961,376.11869702137625
2220 Flatbush Ave,"Brooklyn, NY, 11234"," 7,500 ","Brooklyn, ",11234,38.00 ,1952,"2220 Flatbush Ave Brooklyn, NY, 11234",40.6155853,-73.92962860064989,73.0263720598717,8793.514342299755
510 Driggs Ave,"Brooklyn, NY, 11211"," 5,859 ","Brooklyn, ",11211,150.00 ,2022,"510 Driggs Ave Brooklyn, NY, 11211",40.7179428,-73.95576868575758,88.97674418604652,433.7163160630723
2222 Church Ave,"Brooklyn, NY, 11226","15,000 ","Brooklyn, ",11226,49.00 ,1931,"2222 Church Ave Brooklyn, NY, 11226",40.6501993,-73.95781292985555,54.04270186335404,4292.33268468223
419 Park Ave S,"New York, NY, 10016"," 67,184 ","New York, ",10016,60.00 ,1927,"419 Park Ave S New York, NY, 10016",40.7437261,-73.9835592,121.98438008460788,734.7156329863336
111 W 24th St,"New York, NY, 10011"," 25,930 ","New York, ",10011,55.00 ,1902,"111 W 24th St New York, NY, 10011",40.74380889744286,-73.99266935386287,136.63649222065064,943.1468146483749
515 Broadway,"New York, NY, 10012"," 30,000 ","New York, ",10012,128.33 ,1875,"515 Broadway New York, NY, 10012",40.7226841,-73.9992804,124.96935201401051,261.72900561914656
1627 Broadway,"New York, NY, 10019"," 17,994 ","New York, ",10019,207.91 ,1930,"1627 Broadway New York, NY, 10019",40.7613625,-73.9843113,119.98522167487685,953.250825090633
1413 38th St,"Brooklyn, NY, 11218","4,800 ","Brooklyn, ",11218,35.00 ,1924,"1413 38th St Brooklyn, NY, 11218",40.63970075510204,-73.98306983673469,70.50332929782083,5112.234456005879
38 Victory Blvd,"Staten Island, NY, 10301"," 50,000 ","Staten Island, ",10301,45.00 ,2023,"38 Victory Blvd Staten Island, NY, 10301",40.63783188095238,-74.07661871428571,71.53340575774035,9866.842755746362
178 Delancey St,"New York, NY, 10002","5,000 ","New York, ",10002,59.00 ,1910,"178 Delancey St New York, NY, 10002",40.7177858,-73.9849194,64.70105421686748,1447.4072280392631
1188 Flushing Ave,"Brooklyn, NY, 11237"," 20,000 ","Brooklyn, ",11237,45.00 ,1929,"1188 Flushing Ave Brooklyn, NY, 11237",40.70695825000001,-73.92452175,51.53839590443686,3140.485821811988
556 Howard Ave,"Brooklyn, NY, 11233"," 8,400 ","Brooklyn, ",11233,35.00 ,1921,"556 Howard Ave Brooklyn, NY, 11233",40.6687259,-73.92052729341106,53.553238546603474,5225.249213726376
37 Greenpoint Ave,"Brooklyn, NY, 11222"," 8,300 ","Brooklyn, ",11222,51.00 ,1931,"37 Greenpoint Ave Brooklyn, NY, 11222",40.7298686,-73.9590216,96.09931212381771,1583.600364138363
566 Nostrand Ave,"Brooklyn, NY, 11216","8,000 ","Brooklyn, ",11216,50.00 ,1910,"566 Nostrand Ave Brooklyn, NY, 11216",40.67922775,-73.94992024999999,69.86347886347886,2495.060061692031
55 Chrystie St,"New York, NY, 10002"," 47,700 ","New York, ",10002,45.00 ,1900,"55 Chrystie St New York, NY, 10002",40.71667731428572,-73.99467854285714,64.70105421686748,1002.5665065945307
1035 Brighton Beach Ave,"Brooklyn, NY, 11235"," 21,387 ","Brooklyn, ",11235,180.00 ,1931,"1035 Brighton Beach Ave Brooklyn, NY, 11235",40.5784211,-73.9583005,64.00269740068661,12019.492061259007
1123 Broadway,"New York, NY, 10010"," 61,890 ","New York, ",10010,100.00 ,1900,"1123 Broadway New York, NY, 10010",40.7433913,-73.9892649,130.9073262366938,826.6786417139847
353 Hamilton Ave,"Brooklyn, NY, 11231","4,000 ","Brooklyn, ",11231,40.00 ,1931,"353 Hamilton Ave Brooklyn, NY, 11231",40.6738764,-73.9995394,111.76460176991151,2222.223667466797
179 Franklin St,"New York, NY, 10013"," 11,700 ","New York, ",10013,61.68 ,1915,"179 Franklin St New York, NY, 10013",40.7192036,-74.00961075732478,122.22905027932961,863.0278168624601
2025 Broadway,"New York, NY, 10023"," 7,668 ","New York, ",10023,150.24 ,1977,"2025 Broadway New York, NY, 10023",40.7767283,-73.9824048,139.6698766175143,185.92516797973218
100 Broadway,"New York, NY, 10005"," 21,267 ","New York, ",10005,197.52 ,1897,"100 Broadway New York, NY, 10005",40.70797775,-74.01109348756432,136.7764505119454,398.1874212765473
1938 Coney Island Ave,"Brooklyn, NY, 11230","4,500 ","Brooklyn, ",11230,50.00 ,2021,"1938 Coney Island Ave Brooklyn, NY, 11230",40.61023078846154,-73.96253503846154,66.57185710389965,8472.939888942814
425 W 18th St,"New York, NY, 10011"," 7,899 ","New York, ",10011,60.00 ,2020,"425 W 18th St New York, NY, 10011",40.743844,-74.00425844897958,136.63649222065064,312.04266349927946
379 Jefferson St,"Brooklyn, NY, 11237"," 7,500 ","Brooklyn, ",11237,40.00 ,1988,"379 Jefferson St Brooklyn, NY, 11237",40.706415428571425,-73.92432857142857,51.53839590443686,3174.938624783868
555 Johnson Ave,"Brooklyn, NY, 11237"," 40,000 ","Brooklyn, ",11237,38.00 ,1969,"555 Johnson Ave Brooklyn, NY, 11237",40.7090799,-73.9249972,51.53839590443686,3037.408196042674
1749 First Ave,"New York, NY, 10128","7,354 ","New York, ",10128,57.79 ,2002,"1749 First Ave New York, NY, 10128",42.95471490247753,-74.29101854758918,126.91208439897699,235362.50274115257
33 7th Ave,"New York, NY, 10011","9,775 ","New York, ",10011,97.19 ,1961,"33 7th Ave New York, NY, 10011",40.7374751,-74.0002167,136.63649222065064,604.7880525213417
377 Jefferson St,"Brooklyn, NY, 11237"," 20,000 ","Brooklyn, ",11237,75.00 ,1929,"377 Jefferson St Brooklyn, NY, 11237",40.7066477,-73.9241185,51.53839590443686,3183.5742999128547
12 W 29th St,"New York, NY, 10001"," 4,000 ","New York, ",10001,54.00 ,1925,"12 W 29th St New York, NY, 10001",40.7455054,-73.98792202007509,115.71375233354075,566.1883743633955
394 Sixth Ave,"New York, NY, 10011"," 5,722 ","New York, ",10011,68.94 ,1957,"394 Sixth Ave New York, NY, 10011",42.71042081632653,-73.71133720408163,136.63649222065064,205292.38448569414
